,fecha,prices bitcoin,market_caps bitcoin,total_volumes bitcoin,prices ethereum,market_caps ethereum,total_volumes ethereum,prices binancecoin,market_caps binancecoin,total_volumes binancecoin,prices cardano,market_caps cardano,total_volumes cardano,prices dogecoin,market_caps dogecoin,total_volumes dogecoin,prices solana,market_caps solana,total_volumes solana,prices polkadot,market_caps polkadot,total_volumes polkadot,prices matic-network,market_caps matic-network,total_volumes matic-network,prices litecoin,market_caps litecoin,total_volumes litecoin,prices ripple,market_caps ripple,total_volumes ripple,Year,Month
30,2020-09-17,10938.0,202358479464.18542,23547167125.342415,388.8,43828530075.491394,16748693289.537083,26.79,3959528315.0560274,425105137.0244049,0.09,2926254190.2876606,655152123.786252,0.0,355887623.24609375,170633292.3412527,2.92,107329192.55976476,21791980.63219644,5.32,4871310608.622429,299530704.44409996,0.02,77605972.7460225,13948706.852830749,48.81,3203490685.155519,1858103859.1167254,0.25,11385313831.484951,2004021133.6144068,2020,9
31,2020-09-18,10927.15,202091264904.96927,20681771888.399273,383.17,43009572687.415535,9883257470.927006,27.1,3976466685.154942,406378803.9085718,0.09,2816775563.1351695,585526141.405035,0.0,351370413.6584459,155984975.18612808,3.08,115398247.16683203,22533255.903117426,5.24,4771593286.01857,218845784.12899387,0.02,80137724.96610434,18043812.96280309,48.36,3166678354.250951,1861324555.8672638,0.25,11264465645.812262,1869517172.4901931,2020,9
32,2020-09-19,11084.0,204994315602.9869,18334274060.30012,385.47,43455110863.06883,11046298234.18736,27.2,4024066272.6573086,350612365.6065321,0.09,2849152837.374013,551088156.8335764,0.0,352026916.7563978,157760533.21510443,3.01,113066182.9422364,10943760.457857545,4.92,4511663057.978728,180793689.67015743,0.02,79389841.15673383,9509977.455648331,48.54,3178876473.172127,1741231520.833576,0.25,11350057025.953384,1705001457.9575903,2020,9
33,2020-09-20,10923.33,202032519471.26855,20161733906.963223,370.97,41929980576.65271,11369621273.059267,26.43,3891106120.858083,370273177.6034905,0.09,2788163196.0504737,560728729.510593,0.0,350172659.2546802,165563595.52312505,2.87,107485223.20908946,9294739.741029434,4.67,4287331139.3953447,277405320.53644466,0.02,84198926.72818877,16289429.308550067,47.05,3081852886.430401,1704470697.6138358,0.25,11108885769.40159,1633405640.589034,2020,9
34,2020-09-21,10439.52,193677795064.08533,23757059692.357033,341.28,38695806846.97656,14837815989.716738,23.53,3493931691.129836,423273273.27081376,0.08,2513123717.740511,504270732.8337734,0.0,332685818.3450885,129491987.07398969,2.77,105132421.8250733,19270693.968702458,4.09,3770969365.206551,376122862.04748017,0.02,72166277.92198318,30331722.132962238,43.24,2844067682.4544287,1955932528.3932776,0.23,10487928992.66827,2007044758.6876988,2020,9
35,2020-09-22,10527.59,194731087415.28983,19866578108.977962,343.92,38679912764.2938,11967106210.545612,24.03,3535552468.393081,378103488.0063865,0.08,2528466247.7737017,359254513.48018813,0.0,333107659.33406585,109840858.13876617,2.94,110996725.68154047,18874481.49614106,4.17,3807699809.7726593,207312314.25066918,0.02,74228663.06965438,8462496.377787841,44.49,2914609515.0487127,1617613247.2197561,0.23,10492066944.17281,1595971759.2937121,2020,9
36,2020-09-23,10223.78,189120580778.46335,19981974722.351273,321.08,36239170986.342445,9839917613.109154,22.81,3373414662.270313,347342769.967389,0.08,2387518228.7759247,339256966.55460995,0.0,321232114.94339186,87446068.03807968,2.84,107801478.99659243,14564763.145004692,4.02,3701917991.0629163,208272484.1319433,0.02,67399219.14064768,9968564.613598231,42.97,2815597122.347441,1561653396.635669,0.22,9962004555.544462,1403281426.5600727,2020,9
37,2020-09-24,10726.53,198514026300.17914,21348447554.09249,348.82,39314719146.84341,12209550797.233208,24.52,3626151929.2579103,373755511.9432241,0.08,2577652813.892889,404377685.7949588,0.0,333546263.35684276,122307586.18414167,3.13,118878878.68168245,16633162.873780875,4.39,4024415210.879658,212165515.13304597,0.02,72181734.84309058,10175194.653963981,44.91,2942985266.823215,1823896263.1446927,0.23,10494131135.670378,1649632989.8135304,2020,9
38,2020-09-25,10681.99,197616950282.06653,19119761059.475536,351.33,39598389061.56603,10740036294.329079,24.63,3635723607.8745704,353550737.40461797,0.1,2988519166.609257,591858440.46418,0.0,340940106.61380917,133860798.52213551,3.19,122238331.59277275,13618464.796439826,4.41,4036996777.5289283,176573807.95552978,0.02,72618138.93835211,8582585.621955661,45.91,3008879306.454264,1747479731.9932432,0.24,10889835408.523603,1460716986.2118957,2020,9
39,2020-09-26,10743.19,198687083452.04324,16886146730.050009,354.26,39946698187.61045,10859942552.210592,26.18,3874918801.864329,360614333.50742364,0.1,2980675759.2437825,444216426.15245867,0.0,341467884.01826406,116122723.58037119,3.14,121477645.40078653,8801854.27770789,4.34,3981431937.9363737,124028159.47280042,0.02,71945074.90396686,6891469.90068613,46.1,3019712576.4293213,1908407338.5904162,0.24,10890187788.561167,1333243982.283363,2020,9
